merchant_id,merchant_name,dominant_category,merchant_city,merchant_state,merchant_lat,merchant_long,merchant_since,is_active
10000,fraud_Cole and Sons,shopping_pos,Houston,TX,29.685124,-95.099371,2013-02-17,1
10001,fraud_Douglas Inc,grocery_pos,New York,NY,40.851996,-73.946805,2012-02-07,1
10002,fraud_Rutherford,home,New York,NY,40.506411,-74.212403,2014-06-17,0
10003,fraud_Reilly PLC,personal_care,Phoenix,AZ,33.18325,-111.854294,2010-02-23,1
10004,fraud_Reilly LLC,personal_care,Houston,TX,29.821069,-95.244956,2017-07-20,1
10005,fraud_Bailey and Sons,entertainment,Seattle,WA,47.318551,-122.050154,2023-07-17,1
10006,fraud_Schmidt,grocery_net,Dallas,TX,32.976166,-96.969597,2018-06-28,1
10007,fraud_Douglas Ltd,travel,Austin,TX,30.076295,-97.933057,2018-02-10,0
10008,fraud_Cormier,misc_pos,New York,NY,40.595345,-73.991146,2015-02-10,1
10009,fraud_Bailey,grocery_net,Seattle,WA,47.565367,-122.457363,2018-07-11,1
10010,fraud_Pfeffer,gas_transport,Philadelphia,PA,40.019712,-75.381504,2018-04-21,1
10011,fraud_Cormier,misc_pos,Charlotte,NC,35.102387,-80.923283,2011-08-08,0
10012,fraud_Marks,gas_transport,Houston,TX,29.734042,-95.198694,2020-05-14,1
10013,fraud_Stroman,misc_net,Columbus,OH,39.781004,-82.990259,2022-06-29,1
10014,fraud_Halvorson,grocery_pos,Denver,CO,39.794649,-105.26243,2015-02-20,1
10015,fraud_Halvorson,shopping_pos,Los Angeles,CA,34.116727,-118.441386,2022-09-21,1
10016,fraud_Cormier,misc_pos,San Antonio,TX,29.163131,-98.224269,2020-04-16,1
10017,fraud_Stroman Ltd,home,Dallas,TX,33.056079,-96.611962,2015-11-23,0
10018,fraud_Reilly,entertainment,San Antonio,TX,29.306868,-98.734997,2014-12-02,1
10019,fraud_Emmerich,grocery_pos,Denver,CO,39.84974,-105.026209,2012-06-17,1
10020,fraud_Marks,kids_pets,San Antonio,TX,29.197323,-98.496494,2011-06-05,1
10021,fraud_Waters,home,,CA,32.436333,-116.915508,2015-08-22,0
10022,fraud_Kunze,misc_pos,Los Angeles,CA,33.907468,-118.146187,2022-01-16,1
10023,fraud_Halvorson Inc,health_fitness,Chicago,IL,41.765127,-87.617759,2010-01-27,1
10024,fraud_Emmerich,grocery_net,Dallas,TX,32.804726,-96.986087,2016-09-10,0
10025,fraud_Boyle and Sons,gas_transport,Denver,CO,40.020951,-104.82522,2022-02-05,0
10026,fraud_Kunze,grocery_pos,San Diego,CA,32.979399,-116.924204,2012-07-05,1
10027,fraud_Bogan LLC,kids_pets,Boston,MA,42.41884,-70.805775,2011-10-08,1
10028,fraud_Yost,home,Denver,CO,39.492296,-105.17271,2012-10-27,1
10029,fraud_Yost,shopping_net,Chicago,IL,41.605236,-87.734602,2021-11-01,0
10030,fraud_Reilly,home,Boston,MA,42.293306,-71.196091,2014-07-06,1
10031,fraud_Waters,entertainment,Columbus,OH,40.158443,-83.084748,2019-10-29,0
10032,fraud_Pfeffer LLC,entertainment,Los Angeles,CA,33.920761,-118.218082,2010-06-22,0
10033,fraud_Douglas LLC,grocery_net,New York,NY,40.497355,-73.824682,2011-04-28,1
10034,fraud_Bailey,entertainment,Seattle,WA,47.35093,-122.039968,2011-08-04,0
10035,fraud_Rutherford Inc,home,Houston,TX,29.923747,-95.550571,2012-12-19,0
10036,fraud_Homenick,health_fitness,Denver,CO,39.442513,-104.801023,2019-02-17,1
10037,fraud_Cole Inc,food_dining,Philadelphia,PA,40.076714,-75.027796,2019-03-22,1
10038,fraud_Schmidt,grocery_net,Columbus,OH,40.123962,-83.254373,2011-05-12,1
10039,fraud_Halvorson,shopping_pos,Los Angeles,CA,33.967279,-118.474179,2014-04-19,1
10040,fraud_Douglas,gas_transport,,TX,29.641962,-98.419621,2016-03-31,1
10041,fraud_Rutherford,health_fitness,Los Angeles,CA,33.950739,-118.505565,2022-05-06,1
10042,fraud_Schmidt,travel,Dallas,TX,32.663289,-96.90189,2010-05-01,1
10043,fraud_Rutherford Inc,shopping_pos,San Diego,CA,32.853464,-117.078566,2018-12-30,1
10044,fraud_Marks Inc,personal_care,Phoenix,AZ,33.680728,-112.090671,2020-03-16,1
10045,fraud_Reilly,personal_care,Charlotte,NC,34.998857,-80.715153,2022-06-19,1
10046,fraud_Hart LLC,kids_pets,New York,NY,40.869271,-73.969234,2022-02-28,1
10047,fraud_Halvorson PLC,home,San Diego,CA,32.87828,-117.164823,2021-11-29,1
10048,fraud_Schmidt,travel,Los Angeles,CA,34.06584,-118.287175,2014-03-03,1
10049,fraud_Boyle LLC,grocery_net,San Antonio,TX,29.139351,-98.728865,2022-10-11,1
10050,fraud_Homenick,grocery_net,Austin,TX,29.986058,-97.661254,2019-05-28,0
10051,fraud_Homenick,shopping_net,Boston,MA,42.248714,-71.053758,2014-08-01,1
10052,fraud_Rutherford LLC,misc_pos,Columbus,OH,40.20574,-83.149225,2016-09-23,1
10053,fraud_Halvorson,grocery_net,Boston,MA,42.30633,-70.905569,2010-03-18,1
10054,fraud_Boyle,grocery_net,Los Angeles,CA,33.889479,-118.497512,2022-01-22,1
10055,fraud_Emmerich and Sons,grocery_net,Boston,MA,42.233951,-71.262167,2015-06-25,1
10056,fraud_Bogan PLC,shopping_net,Charlotte,NC,35.484919,-80.658228,2021-11-12,1
